<pre>
# ---------------------------
  code ; shortcut ; reference
  8.01 ; NBS  ; Wiese, W.L., Smith, M.W., and Glennon, B.M. 1966, NSRDS-NBS 4.
  8.02 ; BDF  ; Bhatia, A.K., Doschek, G.A., and Feldman, U. 1979, A&A 76, 359-361.
  8.02 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
  8.02 ; NBS  ; Wiese, W.L., Smith, M.W., and Glennon, B.M. 1966, NSRDS-NBS 4.
  8.02 ; NS   ; Nussbaumer, H. and Storey, P.J. 1981, A&A 99, 177-181.
  8.02 ; PDKI ; Pinnington, E.H., Donnelly, K.E., Kernahan, J.A., and Irwin, D.J.G. 1978, Can. J. Phys. 56, 508.
  8.03 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
  8.03 ; MC   ; McEachran, R.P., and Cohen, M. 1971, JQSRT, 11, 1819.
  8.03 ; NBS  ; Wiese, W.L., Smith, M.W., and Glennon, B.M. 1966, NSRDS-NBS 4.
  8.03 ; NS   ; Nussbaumer, H. and Storey, P.J. 1978, A&A 64, 139.
  8.03 ; SMWI ; Smith, M.W. and Wiese, W.L. 1971, Ap.J.Supp., 23, 103.
  8.04 ; DPC  ; Druetta, M., Poulizac, M.C., and Ceyzeriat, P. 1971, J. Phys. B 4, 1070.
  8.04 ; FT   ; Friedrich, H. and Trefftz, E. 1969, MPI-PAE/Astro 29.
  8.04 ; LCV  ; Laughlin, C., Constantinides, E.R., and Victor, G.A. 1978, J. Phys. B 11, 2243.
  8.04 ; NBS  ; Wiese, W.L., Smith, M.W., and Glennon, B.M. 1966, NSRDS-NBS 4.
  8.04 ; NS   ; Nussbaumer, H. and Storey, P.J. 1979, A&A 74, 244.
  8.05 ; NBS  ; Wiese, W.L., Smith, M.W., and Glennon, B.M. 1966, NSRDS-NBS 4.
  8.05 ; W    ; Warner, B. 1968, MNRAS 141, 273.
  9.00 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
  9.01 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
  9.01 ; NBS  ; Wiese, W.L., Smith, M.W., and Glennon, B.M. 1966, NSRDS-NBS 4.
  9.01 ; PILK ; Pinnington, E.H., Irwin, D.J.G., Livingston, A.E., and Kernahan, J.A. 1976, Can. J. Phys. 54, 689.
  9.02 ; GUES ; Guess  multiplet table indicates that a line is present.
  9.02 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
  9.02 ; NBS  ; Wiese, W.L., Smith, M.W., and Glennon, B.M. 1966, NSRDS-NBS 4.
  9.02 ; PILK ; Pinnington, E.H., Irwin, D.J.G., Livingston, A.E., and Kernahan, J.A. 1976, Can. J. Phys. 54, 689.
  9.03 ; FAW  ; Fawcett, B.C. 1978, Atomic Data and Nuclear Data Tables 22, 473-489.
  9.03 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
  9.04 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
  9.04 ; NBS  ; Wiese, W.L., Smith, M.W., and Glennon, B.M. 1966, NSRDS-NBS 4.
  9.04 ; NS   ; Nussbaumer, H. and Storey, P.J. 1978, A&A 64, 139.
  9.05 ; EDHE ; Engstrom,L., Denne,B., Juldt,S., Ekberg,J.O., Curtis,L.J., Veje,E.,& Martinson,I. 1979, Phys.Scripta 20, 88.
  9.05 ; FAW  ; Fawcett, B.C. 1978, Atomic Data and Nuclear Data Tables 22, 473-489.
  9.05 ; NBS  ; Wiese, W.L., Smith, M.W., and Glennon, B.M. 1966, NSRDS-NBS 4.
 10.00 ; BM   ; Bengston, R.D. and Miller, M.H. 1970, JOSA 60, 1093.
 10.00 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.  
 10.00 ; L    ; Lilly, R.A. 1976, JOSA, 66, 971; 1975, JOSA, 65, 389.
 10.00 ; M    ; Murphy, P.W. 1968, JOSA 58, 1200.  
 10.00 ; MC   ; Martin, P. and Campos, J. 1977, JOSA, 67,1327; 1978, JQSRT, 19, 109; 1979, JQSRT, 22, 183.
 10.01 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 10.01 ; LG   ; Loginov, A.V. and Gruzdev, P.F. 1978, Opt. Spectr. 44, 123.
 10.01 ; NBS  ; Wiese, W.L., Smith, M.W., and Glennon, B.M. 1966, NSRDS-NBS 4.
 10.02 ; KBC  ; Kastner, S.D., Bhatia, A.K., Cohen, L. 1977, Phys. Scripta 15, 259.
 10.02 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 10.02 ; NBS  ; Wiese, W.L., Smith, M.W., and Glennon, B.M. 1966, NSRDS-NBS 4.
 10.03 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 10.03 ; NBS  ; Wiese, W.L., Smith, M.W., and Glennon, B.M. 1966, NSRDS-NBS 4.
 10.04 ; KBC  ; Kastner, S.D., Bhatia, A.K., Cohen, L. 1977, Phys. Scripta 15, 259.   
 10.04 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 10.04 ; NBS  ; Wiese, W.L., Smith, M.W., and Glennon, B.M. 1966, NSRDS-NBS 4.
 10.04 ; SMWI ; Smith, M.W. and Wiese, W.L. 1971, Ap.J.Supp., 23, 103.
 10.05 ; GUES ; Guess  multiplet table indicates that a line is present.
 10.05 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 10.05 ; NBS  ; Wiese, W.L., Smith, M.W., and Glennon, B.M. 1966, NSRDS-NBS 4.
 11.00 ; GUES ; Guess  multiplet table indicates that a line is present.
 11.00 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 11.00 ; LN   ; Lindgard, A. AND Nielsen, S.E. 1977, Atomic Data and Nuclear Data Tables, 19, 533.
 11.00 ; NBS  ; Wiese, W.L., Smith, M.W., and Miles, B.M. 1969, NSRDS-NBS 22.
 11.01 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 11.02 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 11.03 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 11.04 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 11.05 ; BBD  ; Buchet, J.-P., Buchet-Poulizac, M.-C., and Druetta, M. 1978, Phys. Scripta 18, 496-498.
 11.05 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 11.05 ; NBS  ; Wiese, W.L., Smith, M.W., and Miles, B.M. 1969, NSRDS-NBS 22.
 12.00 ; AZ   ; Anderson, E.M., Zilitis, V.A., and Sorokina, E.S. 1967, Opt. Spectr. 23, 102-105. 
 12.00 ; FF   ; Froese Fischer, C. 1975, Can.J.Phys. 53, 184; p. 338; 1979, JOSA 69, 118.
 12.00 ; FT   ; Friedrich, H. and Trefftz, E. 1970, MPI-PAE/Astro preprint
 12.00 ; GUES ; Guess  multiplet table indicates that a line is present.
 12.00 ; K    ; Kurucz unpublished  1975? 
 12.00 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 12.00 ; LV   ; Laughlin, C, and Victor, G.A. 1974, ApJ 192, 551.    
 12.00 ; LZ   ; Lincke, R. and Ziegenbein, G. 1971, Z. Phyzik, 241, 369.
 12.00 ; NBS  ; Wiese, W.L., Smith, M.W., and Miles, B.M. 1969, NSRDS-NBS 22.
 12.00 ; SCH  ; Schaefer, A.R. 1971, ApJ 163, 411.
 12.00 ; SL   ; Smith, W.H. and Liszt, H.S. 1971, JOSA 61, 938.
 12.00 ; WARN ; Warner, B. 1968, MNRAS 139, 103.
 12.01 ; BWL  ; Black, J.H., Wisheit, J.C., and Laviana, E. 1972, ApJ 177, 567.
 12.01 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 12.02 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 12.03 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 12.03 ; NBS  ; Wiese, W.L., Smith, M.W., and Miles, B.M. 1969, NSRDS-NBS 22.
 12.04 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 12.05 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 13.00 ; K75  ; Kurucz unpublished 1975.
 13.00 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 13.00 ; LC   ; Lombardi, G.G., Cardon, B.L., and Kurucz, R.L. 1981, ApJ 248, 1202-1208.
 13.00 ; NBS  ; Wiese, W.L., Smith, M.W., and Miles, B.M. 1969, NSRDS-NBS 22.
 13.00 ; ROIG ; Roig, R.A. 1975, J. Phys. B 8, 2939-2947.
 13.00 ; SMLI ; Smith, W.H. and Liszt, H.S. 1971, JOSA 61, 938.
 13.01 ; BW   ; Warner, B. 1968, MNRAS 140, 53-59.
 13.01 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 13.01 ; NBS  ; Wiese, W.L., Smith, M.W., and Miles, B.M. 1969, NSRDS-NBS 22.
 13.01 ; WEI  ; Weiss, A.W. 1975, Phys. Rev. A 9, 1524-1536.
 13.02 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 13.03 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 13.03 ; NBS  ; Wiese, W.L., Smith, M.W., and Miles, B.M. 1969, NSRDS-NBS 22.
 13.04 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 13.05 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 14.00 ; GARZ ; Garz, T. 1973, a. and A. 26, 471.
 14.00 ; GS   ; Grevess, N. and Swings, J.P. 1972, ApJ 171, 179.
 14.00 ; GUES ; Guess  multiplet table indicates that a line is present.
 14.00 ; K    ; Kurucz unpublished  1975?
 14.00 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 14.00 ; MIL  ; Miller, M.H. 1968, Ph.D. thesis University of Maryland, Technical Note BN-550.   
 14.00 ; SG   ; Schulz-Gulde, E. 1969, JQSRT 9, 13.
 14.01 ; AJPP ; Artru, M.C., Jamar, C., Petrini, D., and Praderie, F. 1981, A&A 96, 380-392.
 14.01 ; BBCB ; Berry, H.G., Bromander, J., Curtis, L.J., and Buchta, R. 1971, Phys. Scripta 3, 125.
 14.01 ; CS   ; Curtis, L.J. and Smith, W.H. 1974, Phys. Rev. A 9, 1537.  
 14.01 ; GUES ; Guess  multiplet table indicates that a line is present.
 14.01 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 14.01 ; NBS  ; Wiese, W.L., Smith, M.W., and Miles, B.M. 1969, NSRDS-NBS 22.
 14.01 ; SG   ; Schulz-Gulde, E. 1969, JQSRT 9, 13.
 14.02 ; BBCB ; Berry, H.G., Bromander, J., Curtis, L.J., and Buchta, R. 1971, Phys. Scripta 3, 125.
 14.02 ; BW   ; Warner, B. 1968, MNRAS 140, 53-59.
 14.02 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 14.02 ; NBS  ; Wiese, W.L., Smith, M.W., and Miles, B.M. 1969, NSRDS-NBS 22.
 14.02 ; TZ   ; Trefftz, E., and Zare, R.N. 1969, JQSRT 9, 643-656.       
 14.03 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 14.04 ; GL   ; Gruzdev, P.F. and Loginov, A.U. 1979, Optics and Spectroscopy 46, 129.
 14.04 ; GLBD ; Garnir, H.P., Livingston, A.E., Baudinet-Robinet, Y., and Dumont, P.D. 1977, JOSA 67, 751. 
 14.04 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 14.04 ; NBS  ; Wiese, W.L., Smith, M.W., and Miles, B.M. 1969, NSRDS-NBS 22.
 14.05 ; GLBD ; Garnir, H.P., Livingston, A.E., Baudinet-Robinet, Y., and Dumont, P.D. 1977, JOSA 67, 751.
 14.05 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 15.00 ; GUES ; Guess  multiplet table indicates that a line is present.
 15.00 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 15.00 ; KP-2 ; guess
 15.00 ; LAW  ; Lawrence, G.M. 1967, ApJ 148, 261.
 15.00 ; LKIP ; Livingston, A.E., Kernahan, J.A., Irwin, D.J.G., and Pinnington, E.H. 1975, Phys. Scripta 12, 223-229.
 15.00 ; MRB  ; Miller, M.H., Roig, R.A., and Bengston, R.D. 1971. Phys. Rev. A 4, 1709.
 15.00 ; NBS  ; Wiese, W.L., Smith, M.W., and Miles, B.M. 1969, NSRDS-NBS 22.
 15.01 ; GUES ; Guess  multiplet table indicates that a line is present.
 15.01 ; HI   ; Hibbert, A. 1988, Phys. Scripta 38, 37-44.
 15.01 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 15.01 ; MRB  ; Miller, M.H., Roig, R.A., and Bengston, R.D. 1971. Phys. Rev. A 4, 1709.
 15.01 ; NBS  ; Wiese, W.L., Smith, M.W., and Miles, B.M. 1969, NSRDS-NBS 22.
 15.02 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 15.02 ; LKI  ; Livingston, A.E., Kernahan, J.A., Irwin, D.J.G., and Pinnington, E.H. 1975, Phys. Scripta 12, 223-229.
 15.02 ; NBS  ; Wiese, W.L., Smith, M.W., and Miles, B.M. 1969, NSRDS-NBS 22.
 15.03 ; BW   ; Warner, B. 1968, MNRAS 140, 53-59.
 15.03 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 15.03 ; LKIP ; Livingston, A.E., Kernahan, J.A., Irwin, D.J.G., and Pinnington, E.H. 1975, Phys. Scripta 12, 223-229.
 15.03 ; NBS  ; Wiese, W.L., Smith, M.W., and Miles, B.M. 1969, NSRDS-NBS 22.
 15.04 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 15.05 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 15.05 ; NBS  ; Wiese, W.L., Smith, M.W., and Miles, B.M. 1969, NSRDS-NBS 22.
 16.00 ; FOS  ; Foster, E.W. 1967, Proc. Phys. Soc. 90, 275.
 16.00 ; GUES ; Guess  multiplet table indicates that a line is present.
 16.00 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 16.00 ; LW   ; Lambert, D.L. and Warner, B. 1068, MNRAS 138, 181.
 16.00 ; NBS  ; Wiese, W.L., Smith, M.W., and Miles, B.M. 1969, NSRDS-NBS 22.
 16.01 ; BSMB ; Berry, H.G., Shectman, R.M., Martinson, I., Bickel, W.S., Bashkin, S. 1970, JOSA, 60, 335.
 16.01 ; BW   ; Bridges, J.M. and Wiese, W.L. 1967, Phys. Rev. 159, 31.
 16.01 ; GUES ; Guess  multiplet table indicates that a line is present.
 16.01 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 16.01 ; MWRB ; Miller, M.H., Wilkerson, T.D., Roig, R.A., and Bengston, R.D. 1974, Phys. Rev. A 9, 2312.
 16.01 ; NBS  ; Wiese, W.L., Smith, M.W., and Miles, B.M. 1969, NSRDS-NBS 22.
 16.01 ; NORM ; KP normalized to measured lifetimes
 16.02 ; BSMB ; Berry, H.G., Shectman, R.M., Martinson, I., Bickel, W.S., Bashkin, S. 1970, JOSA, 60, 335.
 16.02 ; FIX  ; left out of KP by accident, estimated
 16.02 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 16.02 ; NBS  ; Wiese, W.L., Smith, M.W., and Miles, B.M. 1969, NSRDS-NBS 22.
 16.02 ; NORM ; KP normalized to measured lifetimes
 16.03 ; IL   ; Irwin, D.J.G. and Livingston, A.E. 1976, Can. J. Phys, 54, 805.
 16.03 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 16.04 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 16.04 ; NBS  ; Wiese, W.L., Smith, M.W., and Miles, B.M. 1969, NSRDS-NBS 22.
 16.05 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 17.00 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 17.01 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 17.01 ; NBS  ; Wiese, W.L., Smith, M.W., and Miles, B.M. 1969, NSRDS-NBS 22.
